N,E
3342247.107195,507118.139447
3342246.435231,507117.398863
3342245.763268,507116.658279
3342245.091304,507115.917694
3342244.419341,507115.177110
3342243.747377,507114.436526
3342243.075414,507113.695942
3342242.403450,507112.955357
3342241.731487,507112.214773
3342241.059523,507111.474189
3342240.387560,507110.733605
3342239.715596,507109.993020
3342239.043633,507109.252436
3342238.371669,507108.511852
3342237.699706,507107.771268
3342237.027742,507107.030683
3342236.355779,507106.290099
3342235.683815,507105.549515
3342235.011852,507104.808931
3342234.339888,507104.068346
3342233.667925,507103.327762
3342232.995961,507102.587178
3342232.323997,507101.846594
3342231.652034,507101.106009
3342230.980070,507100.365425
3342230.308107,507099.624841
3342229.636143,507098.884257
3342228.964180,507098.143672
3342228.292216,507097.403088
3342227.620253,507096.662504
3342226.948289,507095.921920
3342226.276326,507095.181335
3342225.604362,507094.440751
3342224.932399,507093.700167
3342224.260435,507092.959583
3342223.588472,507092.218998
3342222.916508,507091.478414
3342222.244545,507090.737830
3342221.572581,507089.997246
3342220.900618,507089.256661
3342220.228654,507088.516077
3342219.556691,507087.775493
3342218.884727,507087.034909
3342218.212763,507086.294324
3342217.540800,507085.553740
3342216.868836,507084.813156
3342216.196873,507084.072572
3342215.524909,507083.331988
3342214.852946,507082.591403
3342214.180982,507081.850819
3342213.509019,507081.110235
3342212.837055,507080.369651
3342212.165092,507079.629066
3342211.493128,507078.888482
3342210.821165,507078.147898
3342210.149201,507077.407314
3342209.477238,507076.666729
3342208.805274,507075.926145
3342208.133311,507075.185561
3342207.461347,507074.444977
3342206.789384,507073.704392
3342206.117420,507072.963808
3342205.445457,507072.223224
3342204.773493,507071.482640
3342204.101529,507070.742055
3342203.429566,507070.001471
3342202.757602,507069.260887
3342202.085639,507068.520303
3342201.413675,507067.779718
3342200.741712,507067.039134
3342200.069748,507066.298550
3342199.397785,507065.557966
3342198.725821,507064.817381
3342198.053858,507064.076797
3342197.381894,507063.336213
3342196.709931,507062.595629
3342196.037967,507061.855044
3342195.366004,507061.114460
3342194.694040,507060.373876
3342194.022077,507059.633292
3342193.350113,507058.892707
3342192.678150,507058.152123
3342192.006186,507057.411539
3342191.334223,507056.670955
3342190.662259,507055.930370
3342189.990295,507055.189786
3342189.318332,507054.449202
3342188.646368,507053.708618
3342187.974405,507052.968034
3342187.302441,507052.227449
3342186.630478,507051.486865
3342185.958514,507050.746281
3342185.286551,507050.005697
3342184.614587,507049.265112
3342183.942624,507048.524528
3342183.270660,507047.783944
3342182.598697,507047.043360
3342181.926733,507046.302775
3342181.254770,507045.562191
3342180.582806,507044.821607
3342179.910843,507044.081023
3342179.238879,507043.340438
